0x00100000;0xDEADC0B7;lui x1,0xFFFDEADC;x1=0xDEADC000
0x00100004;0xEEF08093;addi x1,x1,0xFFFFFEEF;x1=0xDEADBEEF
0x00100008;0xFEADC137;lui x2,0xFFFFEADC;x2=0xFEADC000
0x0010000C;0xEEF10113;addi x2,x2,0xFFFFFEEF;x2=0xFEADBEEF
0x00100010;0x00200193;addi x3,x0,0x2;x3=0x00000002
0x00100014;0x00308FB3;add x31,x1,x3;x31=0xDEADBEF1
0x00100018;0x0020AF33;slt x30,x1,x2;x30=0x00000001
0x0010001C;0x0020BEB3;sltu x29,x1,x2;x29=0x00000001
0x00100020;0x0020CE33;xor x28,x1,x2;x28=0x20000000
0x00100024;0x0020EDB3;or x27,x1,x2;x27=0xFEADBEEF
0x00100028;0x0020FD33;and x26,x1,x2;x26=0xDEADBEEF
0x0010002C;0x00309CB3;sll x25,x1,x3;x25=0x7AB6FBBC
0x00100030;0x0030DC33;srl x24,x1,x3;x24=0x37AB6FBB
0x00100034;0x4030DC33;sra x24,x1,x3;x24=0xF7AB6FBB
0x00100038;0x00008067;jalr x0,x1,0x0;x0=0x0010003C;pc=0xDEADBEEE
