0x00100000;0x00002023;sw x0,0x0(x0);mem[0x00000000]=0x00000000
0x00100004;0x00002223;sw x0,0x4(x0);mem[0x00000004]=0x00000000
0x00100008;0x00002423;sw x0,0x8(x0);mem[0x00000008]=0x00000000
0x0010000C;0x00002623;sw x0,0xC(x0);mem[0x0000000C]=0x00000000
0x00100010;0x00002823;sw x0,0x10(x0);mem[0x00000010]=0x00000000
0x00100014;0x00002A23;sw x0,0x14(x0);mem[0x00000014]=0x00000000
0x00100018;0x00002C23;sw x0,0x18(x0);mem[0x00000018]=0x00000000
0x0010001C;0xDEADC0B7;lui x1,0xFFFDEADC;x1=0xDEADC000
0x00100020;0xEEF08093;addi x1,x1,0xFFFFFEEF;x1=0xDEADBEEF
0x00100024;0x00102023;sw x1,0x0(x0);mem[0x00000000]=0xDEADBEEF
0x00100028;0x00102223;sw x1,0x4(x0);mem[0x00000004]=0xDEADBEEF
0x0010002C;0x00002103;lw x2,0x0(x0);x2=0xDEADBEEF
0x00100030;0x00402183;lw x3,0x4(x0);x3=0xDEADBEEF
0x00100034;0x0FF00F93;addi x31,x0,0xFF;x31=0x000000FF
0x00100038;0x01F00223;sb x31,0x4(x0);mem[0x00000004]=0x000000FF
0x0010003C;0x00402103;lw x2,0x4(x0);x2=0xDEADBEFF
0x00100040;0x0000EFB7;lui x31,0xE;x31=0x0000E000
0x00100044;0xEADF8F93;addi x31,x31,0xFFFFFEAD;x31=0x0000DEAD
0x00100048;0x01F01423;sh x31,0x8(x0);mem[0x00000008]=0x0000DEAD
0x0010004C;0x00805103;lhu x2,0x8(x0);x2=0x0000DEAD
0x00100050;0x01F01523;sh x31,0xA(x0);mem[0x0000000A]=0x0000DEAD
0x00100054;0x00802103;lw x2,0x8(x0);x2=0xDEADDEAD
0x00100058;0xCAFECFB7;lui x31,0xFFFCAFEC;x31=0xCAFEC000
0x0010005C;0xABEF8F93;addi x31,x31,0xFFFFFABE;x31=0xCAFEBABE
0x00100060;0x01F01623;sh x31,0xC(x0);mem[0x0000000C]=0x0000BABE
0x00100064;0x01F02723;sw x31,0xE(x0);mem[0x0000000E]=0xCAFEBABE
0x00100068;0x00C02103;lw x2,0xC(x0);x2=0xBABEBABE
0x0010006C;0x01002103;lw x2,0x10(x0);x2=0x0000CAFE
0x00100070;0x00008067;jalr x0,x1,0x0;x0=0x00100074;pc=0xDEADBEEE
