0x00100000;0xDEADC0B7;lui x1,0xFFFDEADC;x1=0xDEADC000
0x00100004;0xEEF08093;addi x1,x1,0xFFFFFEEF;x1=0xDEADBEEF
0x00100008;0xFEADC137;lui x2,0xFFFFEADC;x2=0xFEADC000
0x0010000C;0xEEF10113;addi x2,x2,0xFFFFFEEF;x2=0xFEADBEEF
0x00100010;0x00108F93;addi x31,x1,0x1;x31=0xDEADBEF0
0x00100014;0x0010AF13;slti x30,x1,0x1;x30=0x00000001
0x00100018;0x0010BE93;sltiu x29,x1,0x1;x29=0x00000000
0x0010001C;0x0FF0CE13;xori x28,x1,0xFF;x28=0xDEADBE10
0x00100020;0x0FF0ED93;ori x27,x1,0xFF;x27=0xDEADBEFF
0x00100024;0x00F0FD13;andi x26,x1,0xF;x26=0x0000000F
0x00100028;0x00409C93;slli x25,x1,0x4;x25=0xEADBEEF0
0x0010002C;0x0040DC13;srli x24,x1,0x4;x24=0x0DEADBEE
0x00100030;0x4040DC13;srai x24,x1,0x404;x24=0xFDEADBEE
0x00100034;0x00008067;jalr x0,x1,0x0;x0=0x00100038;pc=0xDEADBEEE
