0x00100000;0x00002083;lw x1,0x0(x0);x1=0xDEADBEEF
0x00100004;0x00102103;lw x2,0x1(x0);x2=0x00DEADBE
0x00100008;0x00202183;lw x3,0x2(x0);x3=0x0000DEAD
0x0010000C;0x00302203;lw x4,0x3(x0);x4=0x000000DE
0x00100010;0x00000083;lb x1,0x0(x0);x1=0xFFFFFFEF
0x00100014;0x00100103;lb x2,0x1(x0);x2=0xFFFFFFBE
0x00100018;0x00200183;lb x3,0x2(x0);x3=0xFFFFFFAD
0x0010001C;0x00300203;lb x4,0x3(x0);x4=0xFFFFFFDE
0x00100020;0x00001083;lh x1,0x0(x0);x1=0xFFFFBEEF
0x00100024;0x00101103;lh x2,0x1(x0);x2=0xFFFFADBE
0x00100028;0x00201183;lh x3,0x2(x0);x3=0xFFFFDEAD
0x0010002C;0x00301203;lh x4,0x3(x0);x4=0x000000DE
0x00100030;0x00008067;jalr x0,x1,0x0;x0=0x00100034;pc=0xFFFFBEEE
