0x00100000;0xDEADC0B7;lui x1,0xFFFDEADC;x1=0xDEADC000
0x00100004;0xEEF08093;addi x1,x1,0xFFFFFEEF;x1=0xDEADBEEF
0x00100008;0xFEADC137;lui x2,0xFFFFEADC;x2=0xFEADC000
0x0010000C;0xEEF10113;addi x2,x2,0xFFFFFEEF;x2=0xFEADBEEF
0x00100010;0x00300193;addi x3,x0,0x3;x3=0x00000003
0x00100014;0x02208233;mul x4,x1,x2;x4=0x016DA321
0x00100018;0x00320233;add x4,x4,x3;x4=0x016DA324
0x0010001C;0xCAFEC2B7;lui x5,0xFFFCAFEC;x5=0xCAFEC000
0x00100020;0xABE28293;addi x5,x5,0xFFFFFABE;x5=0xCAFEBABE
0x00100024;0xDEADC2B7;lui x5,0xFFFDEADC;x5=0xDEADC000
0x00100028;0xEEF28293;addi x5,x5,0xFFFFFEEF;x5=0xDEADBEEF
0x0010002C;0xCAFEC2B7;lui x5,0xFFFCAFEC;x5=0xCAFEC000
0x00100030;0xABE28293;addi x5,x5,0xFFFFFABE;x5=0xCAFEBABE
0x00100034;0xDEADC2B7;lui x5,0xFFFDEADC;x5=0xDEADC000
0x00100038;0xEEF28293;addi x5,x5,0xFFFFFEEF;x5=0xDEADBEEF
0x0010003C;0xCAFEC2B7;lui x5,0xFFFCAFEC;x5=0xCAFEC000
0x00100040;0xABE28293;addi x5,x5,0xFFFFFABE;x5=0xCAFEBABE
0x00100058;0x00008067;jalr x0,x1,0x0;x0=0x0010005C;pc=0xDEADBEEE
